STATION,PLATFORM,SERVING LINE,ORIGIN,DESTINATION,CONNECTION,DURATION,TRANSPORT_MODE,DELAY,STATUS
ÖSTERREICHISCHER_PLATZ,Österreichischer Platz::Pos. 1,44,Westbahnhof (Schleife),Killesberg,44:Westbahnhof (Schleife)-Killesberg,24,Bus,0,On time
ÖSTERREICHISCHER_PLATZ,Österreichischer Platz::Pos. 2,44,Westbahnhof (Schleife),Killesberg,44:Westbahnhof (Schleife)-Killesberg,24,Bus,0,On time
UNIVERSITÄT__SCHLEIFE,Universität (Schleife)::Pos. 2,X74,Universität (Schleife),Weil der Stadt Bf,X74:Universität (Schleife)-Weil der Stadt Bf,28,Bus,0,On time
UNIVERSITÄT__SCHLEIFE,Universität (Schleife)::Pos. 2,X60,Universität (Schleife),Leonberg Bf,X60:Universität (Schleife)-Leonberg Bf,18,Bus,0,On time
UNIVERSITÄT__SCHLEIFE,Universität (Schleife)::Pos. 2,X60,Leonberg Bf,Echterdingen Flughafen/Messe (SAB),X60:Leonberg Bf-Echterdingen Flughafen/Messe (SAB),19,Bus,0,On time
STAATSGALERIE,Staatsgalerie::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),23,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,9,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::Pos. 2,42,Charlottenplatz,Erwin-Schoettle-Platz,42:Charlottenplatz-Erwin-Schoettle-Platz,,Bus,0,On time
STAATSGALERIE,Staatsgalerie::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,19,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::3,U1,Heslach Vogelrain,Neugereut,U1:Heslach Vogelrain-Neugereut,19,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,21,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::2,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,17,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::Pos. 3,42,Erwin-Schoettle-Platz,Charlottenplatz,42:Erwin-Schoettle-Platz-Charlottenplatz,,Bus,0,On time
STAATSGALERIE,Staatsgalerie::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,19,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::Pos. 1,40,Wagenburgstraße,Vogelsang,40:Wagenburgstraße-Vogelsang,,Bus,0,On time
STAATSGALERIE,Staatsgalerie::1,U1,Neugereut,Heslach Vogelrain,U1:Neugereut-Heslach Vogelrain,17,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::3,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,19,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::1,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,11,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::Pos. 5,40,Vogelsang,Wagenburgstraße,40:Vogelsang-Wagenburgstraße,7,Bus,0,On time
STAATSGALERIE,Staatsgalerie::1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,9,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),23,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::Pos. 2,42,Charlottenplatz,Erwin-Schoettle-Platz,42:Charlottenplatz-Erwin-Schoettle-Platz,,Bus,0,On time
STAATSGALERIE,Staatsgalerie::1,U1,Mineralbäder,Vaihingen Bf,U1:Mineralbäder-Vaihingen Bf,26,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,19,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::3,U1,Heslach Vogelrain,Neugereut,U1:Heslach Vogelrain-Neugereut,19,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,21,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::2,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,17,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::Pos. 3,42,Erwin-Schoettle-Platz,Charlottenplatz,42:Erwin-Schoettle-Platz-Charlottenplatz,,Bus,0,On time
STAATSGALERIE,Staatsgalerie::1,U1,Neugereut,Vaihingen Bf,U1:Neugereut-Vaihingen Bf,26,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,19,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::Pos. 1,40,Wagenburgstraße,Vogelsang,40:Wagenburgstraße-Vogelsang,,Bus,0,On time
STAATSGALERIE,Staatsgalerie::3,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,19,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::1,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,11,Stadtbahn,0,On time
STAATSGALERIE,Staatsgalerie::Pos. 5,40,Vogelsang,Wagenburgstraße,40:Vogelsang-Wagenburgstraße,7,Bus,0,On time
OSTENDPLATZ,Ostendplatz::2,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,11,Stadtbahn,0,On time
OSTENDPLATZ,Ostendplatz::4,42,Erwin-Schoettle-Platz,Charlottenplatz,42:Erwin-Schoettle-Platz-Charlottenplatz,14,Bus,0,On time
OSTENDPLATZ,Ostendplatz::1,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,17,Stadtbahn,0,On time
OSTENDPLATZ,Ostendplatz::3,42,Charlottenplatz,Erwin-Schoettle-Platz,42:Charlottenplatz-Erwin-Schoettle-Platz,26,Bus,0,On time
OSTENDPLATZ,Ostendplatz::2,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,11,Stadtbahn,0,On time
OSTENDPLATZ,Ostendplatz::4,42,Erwin-Schoettle-Platz,Charlottenplatz,42:Erwin-Schoettle-Platz-Charlottenplatz,14,Bus,0,On time
OSTENDPLATZ,Ostendplatz::1,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,17,Stadtbahn,0,On time
OSTENDPLATZ,Ostendplatz::4,45,Bad Cannstatt Bf,Buchwald,45:Bad Cannstatt Bf-Buchwald,8,Bus,0,On time
OSTENDPLATZ,Ostendplatz::3,42,Charlottenplatz,Erwin-Schoettle-Platz,42:Charlottenplatz-Erwin-Schoettle-Platz,26,Bus,0,On time
OSTENDPLATZ,Ostendplatz::3,45,Buchwald,Bad Cannstatt Bf,45:Buchwald-Bad Cannstatt Bf,17,Bus,0,On time
HEGEL__SEIDENSTR,Hegel-/Seidenstr.::3,40,Wagenburgstraße,Vogelsang,40:Wagenburgstraße-Vogelsang,15,Bus,0,On time
HEGEL__SEIDENSTR,Hegel-/Seidenstr.::3,40,Wagenburgstraße,Vogelsang,40:Wagenburgstraße-Vogelsang,15,Bus,0,On time
HEGEL__SEIDENSTR,Hegel-/Seidenstr.::3,40,Wagenburgstraße,Vogelsang,40:Wagenburgstraße-Vogelsang,15,Bus,0,On time
HEGEL__SEIDENSTR,Hegel-/Seidenstr.::3,40,Wagenburgstraße,Vogelsang,40:Wagenburgstraße-Vogelsang,15,Bus,0,On time
BISMARCKPLATZ,Bismarckplatz::4,42,Erwin-Schoettle-Platz,Charlottenplatz,42:Erwin-Schoettle-Platz-Charlottenplatz,13,Bus,0,On time
BISMARCKPLATZ,Bismarckplatz::3,42,Charlottenplatz,Erwin-Schoettle-Platz,42:Charlottenplatz-Erwin-Schoettle-Platz,6,Bus,0,On time
BISMARCKPLATZ,Bismarckplatz::4,42,Erwin-Schoettle-Platz,Charlottenplatz,42:Erwin-Schoettle-Platz-Charlottenplatz,13,Bus,0,On time
BISMARCKPLATZ,Bismarckplatz::3,42,Charlottenplatz,Erwin-Schoettle-Platz,42:Charlottenplatz-Erwin-Schoettle-Platz,6,Bus,0,On time
HÖLDERLINPLATZ,Hölderlinplatz::1,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,28,Stadtbahn,0,On time
HÖLDERLINPLATZ,Hölderlinplatz::3,40,Wagenburgstraße,Vogelsang,40:Wagenburgstraße-Vogelsang,13,Bus,0,On time
HÖLDERLINPLATZ,Hölderlinplatz::1,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,28,Stadtbahn,0,On time
HÖLDERLINPLATZ,Hölderlinplatz::3,40,Wagenburgstraße,Vogelsang,40:Wagenburgstraße-Vogelsang,13,Bus,0,On time
RUSSISCHE_KIRCHE,Russische Kirche::2,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,27,Stadtbahn,0,On time
RUSSISCHE_KIRCHE,Russische Kirche::3,40,Wagenburgstraße,Vogelsang,40:Wagenburgstraße-Vogelsang,14,Bus,0,On time
RUSSISCHE_KIRCHE,Russische Kirche::1,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,,Stadtbahn,0,On time
RUSSISCHE_KIRCHE,Russische Kirche::2,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,27,Stadtbahn,0,On time
RUSSISCHE_KIRCHE,Russische Kirche::3,40,Wagenburgstraße,Vogelsang,40:Wagenburgstraße-Vogelsang,14,Bus,0,On time
RUSSISCHE_KIRCHE,Russische Kirche::1,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,,Stadtbahn,0,On time
ROSENBERG__SEIDENSTRASSE,Rosenberg-/Seidenstraße::3,42,Charlottenplatz,Erwin-Schoettle-Platz,42:Charlottenplatz-Erwin-Schoettle-Platz,11,Bus,0,On time
ROSENBERG__SEIDENSTRASSE,Rosenberg-/Seidenstraße::5,41,Lerchenrainschule,Berliner Platz (Liederhalle),41:Lerchenrainschule-Berliner Platz (Liederhalle),2,Bus,0,On time
ROSENBERG__SEIDENSTRASSE,Rosenberg-/Seidenstraße::2,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,26,Stadtbahn,0,On time
ROSENBERG__SEIDENSTRASSE,Rosenberg-/Seidenstraße::4,42,Erwin-Schoettle-Platz,Charlottenplatz,42:Erwin-Schoettle-Platz-Charlottenplatz,8,Bus,0,On time
ROSENBERG__SEIDENSTRASSE,Rosenberg-/Seidenstraße::1,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,3,Stadtbahn,0,On time
ROSENBERG__SEIDENSTRASSE,Rosenberg-/Seidenstraße::4,43,Feuersee,Pragsattel,43:Feuersee-Pragsattel,19,Bus,0,On time
ROSENBERG__SEIDENSTRASSE,Rosenberg-/Seidenstraße::3,42,Charlottenplatz,Erwin-Schoettle-Platz,42:Charlottenplatz-Erwin-Schoettle-Platz,11,Bus,0,On time
ROSENBERG__SEIDENSTRASSE,Rosenberg-/Seidenstraße::2,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,26,Stadtbahn,0,On time
ROSENBERG__SEIDENSTRASSE,Rosenberg-/Seidenstraße::4,42,Erwin-Schoettle-Platz,Charlottenplatz,42:Erwin-Schoettle-Platz-Charlottenplatz,8,Bus,0,On time
ROSENBERG__SEIDENSTRASSE,Rosenberg-/Seidenstraße::1,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,3,Stadtbahn,0,On time
ROSENBERG__SEIDENSTRASSE,Rosenberg-/Seidenstraße::4,43,Feuersee,Pragsattel,43:Feuersee-Pragsattel,19,Bus,0,On time
BERLINER_PLATZ__LIEDERHALLE,Berliner Platz (Liederhalle)::Pos. 1,41,Berliner Platz (Liederhalle),Lerchenrainschule,41:Berliner Platz (Liederhalle)-Lerchenrainschule,16,Bus,0,On time
BERLINER_PLATZ__LIEDERHALLE,Berliner Platz (Liederhalle)::Gleis 1,U1,Neugereut,Heslach Vogelrain,U1:Neugereut-Heslach Vogelrain,12,Stadtbahn,0,On time
BERLINER_PLATZ__LIEDERHALLE,Berliner Platz (Liederhalle)::Gleis 2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,24,Stadtbahn,0,On time
BERLINER_PLATZ__LIEDERHALLE,Berliner Platz (Liederhalle)::Gleis 1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,4,Stadtbahn,0,On time
BERLINER_PLATZ__LIEDERHALLE,Berliner Platz (Liederhalle)::Gleis 3,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,4,Stadtbahn,0,On time
BERLINER_PLATZ__LIEDERHALLE,Berliner Platz (Liederhalle)::Gleis 2,U1,Heslach Vogelrain,Neugereut,U1:Heslach Vogelrain-Neugereut,24,Stadtbahn,0,On time
BERLINER_PLATZ__LIEDERHALLE,Berliner Platz (Liederhalle)::Gleis 4,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,24,Stadtbahn,0,On time
BERLINER_PLATZ__LIEDERHALLE,Berliner Platz (Liederhalle)::Pos. 2,43,Feuersee,Pragsattel,43:Feuersee-Pragsattel,20,Bus,0,On time
BERLINER_PLATZ__LIEDERHALLE,Berliner Platz (Liederhalle)::Gleis 1,U1,Neugereut,Heslach Vogelrain,U1:Neugereut-Heslach Vogelrain,12,Stadtbahn,0,On time
BERLINER_PLATZ__LIEDERHALLE,Berliner Platz (Liederhalle)::Gleis 2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,24,Stadtbahn,0,On time
BERLINER_PLATZ__LIEDERHALLE,Berliner Platz (Liederhalle)::Gleis 1,U9,Hedelfingen,Vogelsang,U9:Hedelfingen-Vogelsang,4,Stadtbahn,0,On time
BERLINER_PLATZ__LIEDERHALLE,Berliner Platz (Liederhalle)::Gleis 3,U4,Untertürkheim Bf,Hölderlinplatz,U4:Untertürkheim Bf-Hölderlinplatz,4,Stadtbahn,0,On time
BERLINER_PLATZ__LIEDERHALLE,Berliner Platz (Liederhalle)::Pos. 1,41,Berliner Platz (Liederhalle),Lerchenrainschule,41:Berliner Platz (Liederhalle)-Lerchenrainschule,16,Bus,0,On time
BERLINER_PLATZ__LIEDERHALLE,Berliner Platz (Liederhalle)::Gleis 1,U1,Mineralbäder,Vaihingen Bf,U1:Mineralbäder-Vaihingen Bf,21,Stadtbahn,0,On time
